name;priceDM;sale_price;picture;product_category;sku
Стиральный порошок Умкa детский 2,4 кг;2 890 ₸;2 599 ₸;https://static.detmir.st/media_pim/971/764/1764971/450/0.jpg?1678458374713;Детский мир>Гигиена и уход>Бытовая химия детская;1764971
Крем Моё солнышко с экстрактом ромашки 100 мл;829 ₸;829 ₸;https://static.detmir.st/media/PYUUbAAlHkmFxSPHh80zU69torDVFA2C036eXp4iFnY=?preset=webp;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;35741
Стиральный порошок Meine Liebe для детского белья 1кг;3 759 ₸;3 759 ₸;https://static.detmir.st/media_pim/891/171/3171891/450/0.jpg?1678458170259;Детский мир>Гигиена и уход>Бытовая химия детская;3171891
Крем Крем Детский детский 46 мл;459 ₸;459 ₸;https://static.detmir.st/media_pim/691/035/35691/450/0.jpg?1678807525715;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;35691
Гель для стирки деликатных тканей BioMio 1500мл 1509-02-08;4 890 ₸;4 890 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Бытовая химия детская;3136093
Помада для губ EVO гигиеническая Пантенол;489 ₸;489 ₸;https://static.detmir.st/media_out/731/959/1959731/450/0.jpg?1652264480340;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;1959731
Гель для стирки детского белья Умкa 1л;1 890 ₸;1 699 ₸;https://static.detmir.st/media_pim/881/764/1764881/450/0.jpg?1678376219010;Детский мир>Гигиена и уход>Бытовая химия детская;1764881
Средство для купания младенцев Bubchen Нежный уход с ромашкой 400мл;3 290 ₸;3 119 ₸;https://static.detmir.st/media_out/996/824/4824996/450/0.jpg?1653624846788;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4824996
Гель-кондиционер для стирки белья BioMio 1000мл 507.04166.0101;4 390 ₸;3 069 ₸;https://static.detmir.st/media_pim/400/253/3253400/450/0.jpg?1678375515501;Детский мир>Гигиена и уход>Бытовая химия детская;3253400
Помада для губ Лакомка Ягодный микс;639 ₸;639 ₸;https://static.detmir.st/media_out/211/551/2551211/450/0.jpg?1652264487021;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;2551211
Гель для купания Bubchen Нежный уход с ромашкой 400мл;4 290 ₸;4 069 ₸;https://static.detmir.st/media/rWVcksti6y57TvQQzZV-u5J6iB5epsZGhX7bAiG8Nkw=?preset=webp;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4824993
Пенка для подмывания DR.TUTTELLE с растительными экстрактами 280мл;4 590 ₸;2 879 ₸;https://static.detmir.st/media_out/378/257/4257378/450/0.jpg?1652264661077;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4257378
Стиральный порошок Bio Mio Bio-Color Хлопок 1.5кг;6 390 ₸;4 469 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Бытовая химия детская;326041
Гигиеническая помада Умкa с экстрактом ромашки;590 ₸;529 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;1764831
Гель для купания DR.TUTTELLE 500мл DT010/N;4 590 ₸;2 879 ₸;https://static.detmir.st/media_out/019/464/3464019/450/0.jpg?1652264548372;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;3464019
Пятновыводитель Умкa детский 400 гр;890 ₸;799 ₸;https://static.detmir.st/media_pim/001/765/1765001/450/0.jpg?1678376332635;Детский мир>Гигиена и уход>Бытовая химия детская;1765001
