name,priceDM,sale_price,picture,product_category,sku
Крем Little Siberica детский 75мл,2 990 ₸,2 689 ₸,https://static.detmir.st/media_out/852/960/4960852/1500/0.jpg?1659672382539,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4960852
"Стиральный порошок Умкa детский 2,4 кг",2 890 ₸,2 290 ₸,https://static.detmir.st/media_pim/971/764/1764971/450/0.jpg?1678458374713,Детский мир>Гигиена и уход>Бытовая химия детская,1764971
Масло-спрей Моё солнышко с алоэ 200 мл,1 690 ₸,1 519 ₸,https://static.detmir.st/media_pim/801/709/1709801/1500/0.jpg?1678871276348,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,1709801
Средство для купания младенцев Bubchen Нежный уход с ромашкой 200мл,2 190 ₸,1 859 ₸,https://static.detmir.st/media_pim/992/824/4824992/1500/0.jpg?1681821917162,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4824992
Помада для губ Лакомка Ягодный микс,639,569,https://static.detmir.st/media_pim/211/551/2551211/450/0.jpg?1681727045699,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,2551211
Пенка для подмывания DR.TUTTELLE с растительными экстрактами 280мл,4 590 ₸,3 899 ₸,https://static.detmir.st/media_pim/378/257/4257378/450/0.jpg?1681822731596,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4257378
Бальзам-помада для губ Моё солнышко детский с экстрактом алоэ 28 г,419,369,https://static.detmir.st/media_pim/211/960/1960211/450/0.jpg?1681727128776,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,1960211
Стиральный порошок Tide для чувствительной кожи 4500г,5 970 ₸,4 519 ₸,https://static.detmir.st/media_pim/567/020/3020567/1500/0.jpg?1678458327250,Детский мир>Гигиена и уход>Бытовая химия детская,3020567
Соль для ванн Dr.Agua Нежное море ромашка 450г,590,529,https://static.detmir.st/media_out/850/094/3094850/450/0.jpg?1652264500180,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3094850
Молочко для тела Siberica Биберика Неженка-Снеженкана увлажняющее детское 250мл,2 990 ₸,2 689 ₸,https://static.detmir.st/media_pim/866/960/4960866/450/0.jpg?1678871133230,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4960866
